participant,jitter,max_alpha,arrow_to,answer,trial,flip,alpha,vbl_expected,vbl_realized,missed
18,4,0.6,right,\LEFT,9,157,0.6,2443968.29566916,NaN,NaN
18,4,0.6,right,\LEFT,9,158,0.6,2443968.39067947,NaN,NaN
18,4,0.6,right,\LEFT,9,159,0.6,2443968.48568979,NaN,NaN
18,4,0.6,right,\LEFT,9,160,0.6,2443968.5807001,NaN,NaN
18,4,0.6,right,\LEFT,9,161,0.6,2443968.67571041,NaN,NaN
18,4,0.6,right,\LEFT,9,162,0.6,2443968.77072072,NaN,NaN
18,4,0.6,right,\LEFT,9,163,0.6,2443968.86573103,NaN,NaN
18,4,0.6,right,\LEFT,9,164,0.6,2443968.96074134,NaN,NaN
18,4,0.6,right,\LEFT,9,165,0.6,2443969.05575165,NaN,NaN
18,4,0.6,right,\LEFT,9,166,0.6,2443969.15076196,NaN,NaN
18,4,0.6,right,\LEFT,9,167,0.6,2443969.24577227,NaN,NaN
18,4,0.6,right,\LEFT,9,168,0.6,2443969.34078259,NaN,NaN
18,4,0.6,right,\LEFT,9,169,0.6,2443969.4357929,NaN,NaN
18,4,0.6,right,\LEFT,9,170,0.6,2443969.53080321,NaN,NaN
18,4,0.6,right,\LEFT,9,171,0.6,2443969.62581352,NaN,NaN
18,4,0.6,right,\LEFT,9,172,0.6,2443969.72082383,NaN,NaN
18,4,0.6,right,\LEFT,9,173,0.6,2443969.81583414,NaN,NaN
18,4,0.6,right,\LEFT,9,174,0.6,2443969.91084445,NaN,NaN
18,4,0.6,right,\LEFT,9,175,0.6,2443970.00585476,NaN,NaN
18,4,0.6,right,\LEFT,9,176,0.6,2443970.10086507,NaN,NaN
18,4,0.6,right,\LEFT,9,177,0.6,2443970.19587538,NaN,NaN
18,4,0.6,right,\LEFT,9,178,0.6,2443970.2908857,NaN,NaN
18,4,0.6,right,\LEFT,9,179,0.6,2443970.38589601,NaN,NaN
18,4,0.6,right,\LEFT,9,180,0.6,2443970.48090632,NaN,NaN
18,4,0.6,right,\LEFT,9,181,0.6,2443970.57591663,NaN,NaN
18,4,0.6,right,\LEFT,9,182,0.6,2443970.67092694,NaN,NaN
18,4,0.6,right,\LEFT,9,183,0.6,2443970.76593725,NaN,NaN
18,4,0.6,right,\LEFT,9,184,0.6,2443970.86094756,NaN,NaN
18,4,0.6,right,\LEFT,9,185,0.6,2443970.95595787,NaN,NaN
18,4,0.6,right,\LEFT,9,186,0.6,2443971.05096818,NaN,NaN
18,4,0.6,right,\LEFT,9,187,0.6,2443971.14597849,NaN,NaN
18,4,0.6,right,\LEFT,9,188,0.6,2443971.24098881,NaN,NaN
18,4,0.6,right,\LEFT,9,189,0.6,2443971.33599912,NaN,NaN
18,4,0.6,right,\LEFT,9,190,0.6,2443971.43100943,NaN,NaN
18,4,0.6,right,\LEFT,9,191,0.6,2443971.52601974,NaN,NaN
18,4,0.6,right,\LEFT,9,192,0.6,2443971.62103005,NaN,NaN
18,4,0.6,right,\LEFT,9,193,0.6,2443971.71604036,NaN,NaN
18,4,0.6,right,\LEFT,9,194,0.6,2443971.81105067,NaN,NaN
18,4,0.6,right,\LEFT,9,195,0.6,2443971.90606098,NaN,NaN
18,4,0.6,right,\LEFT,9,196,0.6,2443972.00107129,NaN,NaN
18,4,0.6,right,\LEFT,9,197,0.6,2443972.09608161,NaN,NaN
18,4,0.6,right,\LEFT,9,198,0.6,2443972.19109192,NaN,NaN
18,4,0.6,right,\LEFT,9,199,0.6,2443972.28610223,NaN,NaN
18,4,0.6,right,\LEFT,9,200,0.6,2443972.38111254,NaN,NaN
18,4,0.6,right,\LEFT,9,201,0.6,2443972.47612285,NaN,NaN
18,4,0.6,right,\LEFT,9,202,0.6,2443972.57113316,NaN,NaN
18,7,0.6,left,\RIGHT,10,1,0,2443958.23687019,2443958.23687019,-0.000461316201835871
