participant,list,rep,trial,phase,jitter,max_alpha,condition,flip,alpha,vbl_expected,vbl_realized,missed
5,1,2,1,noise,7,1,Not Studied,37,0.75,1134714.46282988,1134714.37440257,-0.000230313511565328
5,1,2,1,noise,7,1,Not Studied,38,0.775,1134714.55783972,1134714.46450242,-0.00022204895503819
5,1,2,1,noise,7,1,Not Studied,39,0.8,1134714.65284956,1134714.56454081,-0.000263818074017763
5,1,2,1,noise,7,1,Not Studied,40,0.825,1134714.7478594,1134714.65454799,-0.00031471555121243
5,1,2,1,noise,7,1,Not Studied,41,0.85,1134714.84286924,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,42,0.875,1134714.93787908,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,43,0.9,1134715.03288892,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,44,0.925,1134715.12789876,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,45,0.95,1134715.2229086,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,46,0.975,1134715.31791844,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,47,1,1134715.41292828,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,48,1,1134715.50793812,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,49,1,1134715.60294796,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,50,1,1134715.6979578,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,51,1,1134715.79296764,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,52,1,1134715.88797748,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,53,1,1134715.98298732,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,54,1,1134716.07799716,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,55,1,1134716.173007,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,56,1,1134716.26801684,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,57,1,1134716.36302668,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,58,1,1134716.45803653,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,59,1,1134716.55304637,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,60,1,1134716.64805621,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,61,1,1134716.74306605,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,62,1,1134716.83807589,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,63,1,1134716.93308573,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,64,1,1134717.02809557,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,65,1,1134717.12310541,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,66,1,1134717.21811525,NaN,NaN
